,pais,comentario,longitud,entropia
113,Hong Kong,"I wonder if the search history function has gone. If so, I do hope you can bring it back for the next version (well, the sooner the better). That would be a lot more convenient to trace past messages with keywords! Thank you :)",227,4.282474963925773
114,Canada,I gave this app 5 stars because of its features,47,3.7405807460142038
115,India,Very nice n love new features,29,3.6899015819921517
116,United States,"Well it won't let me post statuses or in any groups have to open an shut and it is so annoying !! Last update is crap , closes out and have to start over too !!! Frustrated !!!",176,3.9845250424817023
117,Canada,Gets me to my destination no matter the traffic!,48,3.7227942093616946
118,Hong Kong,？,1,-0.0
119,South Africa,"The app is amazing but for some reason me, and a lot of the people I live with, are having issues with the app (only today though), it won't allow us to send or receive messages, just letting you know (:",203,4.259452045084632
120,United States,My Facebook keeps freezing. And it's happening about 5-10 times a day. I have to quit the app and reopen it to get it in frozen. I have been keep the app up to date and just got a new phone and it still happening. It is quite annoying. \nAnd my feed is a day behind have the time. \nJust Frustrating!,300,4.295044677297576
121,South Africa,I updated to new version for ios it kick me out when i go in it cant even view anything fix this ASAP,101,4.049840631957982
122,India,Plz solve the problem of story,30,3.7362434129830606
123,Singapore,I can't even load or even read and send message out . Why is all this unnecessary updates going on ? Isn't the last update better ? It's getting slower and also worst . I could not even reply and send message . How should I even suppose to do .,244,4.074850247011096
124,United States,"- No self-destruct messages.\n- Can't save more than 5 photos/videos at once to Camera Roll.\n- Can't disable group/voice read receipts.\n- App freezes/stutters while downloading lots of media.\n- Video being played is interrupted once a background download finishes. VERY ANNOYING!!\n- Even after clearing up all chats, app still keeps lots of undeletable stuck data.\n- Can't clear all media and keep only text chats (no granular clear all chats).\n- No iPad / Apple Watch / iMessage support.\n- Can't backup only text to iCloud (no granular backup).\n- Swipe for media gallery shortcut removed.\n- Archived messages confusing implementation.\n- No background send from other apps (have to wait for the progress bar to complete).\n- Can't search inside individual chats.\n- Confusing all starred chats UI inside settings: make it like a regular group so we can have all the group features (mass share/save/select-",915,4.604952004714454
125,Hong Kong,I can't upload photos after the new update version!Please fix it!!!,67,4.170421565223527
126,India,The insta story clarity can be made better ..,45,3.8479826863066284
127,Canada,Bien pratique !,15,3.5068905956085183
128,Singapore,"It may be convenient to reply to a message without access code, but it raises another security concern that anyone can reply messages without the consent of phone/ account owner. Hope Whatsapp builder can look into this security concern prudently.:)",249,4.184217525247221
129,Singapore,Hope more stable,16,3.452819531114783
130,India,"I find the app quite user friendly and intuitive. I continue to face some niggles such as being unable to tag some of my closest friends, for which I am yet to find a solution. Would appreciate some support from Facebook to solve this issue.",241,4.221728226372526
131,India,The dm is glitchy and texts don't get sent plz resolve the problems\nSuch a famous social media and works like shitt plz resolve the problem,140,4.271906372304011
132,Hong Kong,up,2,1.0
133,Canada,Can't use my Pinterest on my iPad.  It just blinks and says cannot authorize.....fix it please,94,4.238116076329969
134,United Kingdom,"Rubbish, says I have notifications but won't show me what they are.",67,4.115983119724368
135,United Kingdom,It's all you will ever need to get from A to B and back again. Stop reading this and download.,94,4.197986482465905
136,South Africa,Its okay �,10,3.1219280948873624
137,India,Multiple photos must be updated to at least  20 photos at a time which will help me and other photographers to post their photo albums more easily,146,3.9208580976943948
138,India,Loving it. Connecting with friends and family and other peoples !!,66,4.203485696837735
139,United Kingdom,"Great navigation, correct every time.",37,3.7737934878245243
140,United Kingdom,Great app,9,2.725480556997868
141,United Kingdom,Good but needs improving as gets a little boring,48,3.9127820318359396
142,Hong Kong,iTunesStore ， ，,15,3.506890595608519
143,India,Very very very useful,21,3.141619208183979
144,Australia,Too many updates that aren't really helpful and now every few videos I watch completely freezes my phone to the point I can't do anything to get out of the app besides a hard reset. Please fix bugs before adding features.,221,4.223165773228832
145,Australia,Have been using Instagram for some years now. I have not had any problems with it. Always found it very easy to use and great fun. Easy to load pictures etc. It's a great app.,175,4.228173613011041
146,India,I am unable to share pic(s) from my photo gallery to any group or individual. This is happening right after updating to the current version. \nNot sure if this is only with my device.,183,4.275996091294348
147,United Kingdom,"Decided to invest in some tech to help me achieve my healthier lifestyle choice goals following a heart attack. Went for Fitbit charge 2. Early days but experience so far:\n1. Easy to set up\n2. Easy to customise and makes you think about your goals with simple questions to establish a target\n3. Easy to read and well laid out dashboard, which is some achievement given volume of data.\n4. Some interesting tips and video links to help sustain motivation\n\nSo far, so good. Looks good as well.",496,4.3938221834602
148,Singapore,awsome apps,11,2.9139770731827523
149,United States,5712497221,10,2.4464393446710155
150,India,Stop updating it every week. Everything works well on my iPhone 7 plus except this app. Slowest app. Every now and then it keeps saying network error. The videos never load. I don't understand what's wrong with facebook. Please do something.,241,4.360442602617977
151,South Africa,A great app with lots of wonderful ideas and inspiration,56,3.9230148600456083
152,United States,Impossible to turn off! It uses the gps even when not using the app. \nWith location services you have only two choices...always or never! What happened to  when using app?,172,4.248046507947844
153,United States,After latest update keep getting 1 badge icon notification but no messages or likes are present when I open the app.,116,4.046059493623534
154,Canada,The photo collage maker is helpful for me to use,48,3.8265535841814056
155,Canada,Please allow me to see every post in chronological order and reduce the amount of ads. It's ridiculous and off-putting.,119,4.208732630980827
156,Australia,Very good app,13,3.238901256602631
157,South Africa,"Highly recommended, really helps you get past bad traffic and find your way around. Definite worthwhile program!",112,4.3317151949636195
158,Singapore,It says that I have too many accounts registered in my device.. but I only have two of them???,94,4.138239382948094
159,Hong Kong,Cannot check the followers,26,3.7671834678914613
160,Australia,A Brain force phenomenon...but you already know that...probably �,65,4.230006375120487
161,India,Alright.,8,3.0
162,United States,Not sure what happened but my newsfeed will not load!,53,4.056818095501151
163,United States,"We these updates I still don't like that I can't see the saved to other boards feature. That one really helped discover others boards and ideas easier. I used to like this app, no it's become something less than it's former self",228,4.083073040132298
164,United Kingdom,Every time I open a paged I have liked it crashes. Been like this for 6months now and after several updates it's still not been fixed!,134,4.226780929881314
165,United States,They kicked me out despite me showing them I'm 13 and I can't talk to a real person,83,4.147207548168399
166,United States,Really enjoy the alerts. \nWill it ever work with Apple Watch?\n\nI really enjoy Maps better. Alerts you with sufficient time to change Lanes unlike Waze. Also displays turn by turn on iWatch so you don't have to take your eyes off the road.,241,4.385640884564854
167,Canada,Small bug fixes please update. Love Instagram �,47,4.227343311090323
168,Hong Kong,Iphone6plus.  。 。,17,3.572469458770136
169,India,Good,4,1.5
170,Hong Kong,How come some sticker could not be use on iPhone 7 but appears on iphone7 plus in stories.,90,4.008340327434073
171,United Kingdom,"Few apps seem to get worse, giant updates for unknown reasons, unclear what changes are, no visible improvement for user experience, continues to separate messaging and the main app for no real reason (especially dumb if you also have Facebook-owned Whatsapp). Time to delete forever?",284,4.285283189121528
172,Hong Kong,Can't post video!!!!!!!!!!!,27,3.1232672130890142
173,Hong Kong,Cannot upload video,19,3.576617644908667
174,Canada,"Can't play any video on my news feed, or otherwise. This app constantly breaks and I was considering giving up on Facebook altogether because of it, since you made it impossible to use Facebook on safari instead of these apps. However, I don't have the option to delete my account. I have forgotten my password on Facebook but remained logged in on the app. I don't have access to the email it tells me to get a code from and it doesn't give me any other option to deactivate or even change my password. I don't want my account up anymore, please fix the bugs instead of doing a new update every day to clear the bad reviews. Please let me delete my account.",658,4.240712087393191
175,India,The new algorithm is pathetic. Earlier the TL was time based. Now it's god knows what based. The reach of the post has been limited so that people are forced to promote their post. Facebook has started to ruin Instagram!!,221,4.193181810169447
176,Hong Kong,wifi  100MB     100MB  wifi,27,2.735282872053068
177,Hong Kong,When I choose 10 photo to upload on Instagram which happen unexpected quit. No matter how many time I have been try it still not working. \n\nPlease fix it.,156,4.36034488498689
178,United Kingdom,Excellent fitness watch and app,31,3.824533406881911
179,India,"Instagram with the updated features (story,live etc) is awesome!! Loving it more than Facebook!! ☺🙂🙂✌🏼",102,4.538143206826839
180,Singapore,Very modern Design can be found here.good App to be use.Strongly support for this app,85,4.195310678509612
181,Australia,Excellent app. Easy to use. Excellent links to support and workouts.,68,4.0552986080209035
182,India,Requiring too much data and network speed for content loading and for videos playing,84,4.123160163256712
183,Singapore,Help me whatsapp my whatsapp disappeared on my iphone (´༎ຶོρ༎ຶོ`),65,4.2698539207479165
184,Canada,J'adore cette apps,18,3.4613201402110083
185,South Africa,New status update is the most annoying thing ever. GET. RID. OF. IT.,68,4.333663121159438
186,Canada,"I think Instagram is awesome, it's a great way to connect with your friends and show them the cool things that you see and the things that are happening in your life",165,4.031803752170674
187,Hong Kong,Love it,7,2.8073549220576046
188,Australia,the day the app reach 500Mb is the day I officially delete it from my idevice,77,4.005404691255946
189,India,Its getting automatically close while browsing chat everytime\nMy imp chat is being missed\nPlease help,103,4.2352457786818
190,Hong Kong,It's sooo annoying..,20,3.384183719779189
191,Hong Kong,1， ， ！,6,1.9182958340544896
192,Singapore,Half the time the app just crashes and the other half of the time the app won't work properly but hey it's mark zucc so what can we expect,138,4.06953806531446
193,Australia,Instagram updated last night and now it won't open at all. I even deleted the App & reinstalled with the same result.,117,3.998441762295707
194,Australia,Any chance we'll get a dark theme any time soon? The all white theme kills my eyes at night.,92,3.9733061138983192
195,Singapore,Please solve! Unable to refresh newsfeed,40,3.7495817701478344
196,United States,"Great app, highly suggest",25,3.7834651896016465
197,United Kingdom,"I'm getting an ad after every 3 posts. Surely this can't be right? I understand you need to make money, but this is just annoying! And there's no way to turn it off!? I'm going to delete the app if this doesn't change, my life is too short to waste it on pointless ads I don't want to see",288,4.198121299416226
198,Australia,Your app freezes when I open it every time. Cannot access ANYTHING,66,4.3305699097982755
